OKR,Área del Banco,ID Epica,Costo,Equipo,Ciclo de desarrollo,Fecha de inicio,Fecha de fin
500,Tecnologia,949,37253,equipo 4,hibrido,"Sep 8, 2023 8:42 PM","Oct 10, 2023 1:49 AM"
200,Operaciones,382,35356,equipo 7,agil,"May 13, 2024 10:12 AM","Jul 4, 2023 11:42 PM"
200,Zona Libre,324,18773,equipo 2,agil,"Mar 28, 2024 11:01 AM","Jun 26, 2024 8:40 AM"
300,Gente,258,15434,equipo 5 ,hibrido,"Jul 27, 2023 2:51 PM","Mar 19, 2024 9:03 AM"
200,Operaciones,674,43614,equipo 2,agil,"Dec 3, 2023 8:04 PM","Sep 8, 2023 7:01 PM"
300,Operaciones,869,9545,equipo 6,hibrido,"Apr 20, 2024 2:17 PM","Jan 9, 2024 2:31 PM"
500,Gente,399,27436,equipo 3,hibrido,"Jun 26, 2023 7:19 AM","Dec 19, 2023 8:53 AM"
200,Payments,299,17192,equipo 1,agil,"Feb 10, 2024 1:13 AM","Aug 18, 2023 3:45 PM"
100,Payments,278,19287,equipo 4,agil,"Feb 2, 2024 8:17 AM","Jun 25, 2024 9:48 PM"
400,Gente,536,38699,equipo 2,hibrido,"Dec 5, 2023 5:51 PM","Jul 28, 2023 9:51 PM"
400,Cumplimiento,618,16918,equipo 6,hibrido,"May 23, 2024 12:48 PM","May 31, 2024 3:31 PM"
200,Cumplimiento,549,38140,equipo 6,agil,"Jun 11, 2023 6:57 AM","Feb 19, 2024 10:35 PM"
500,Zona Libre,701,44849,equipo 4,hibrido,"Dec 27, 2023 6:17 PM","Oct 15, 2023 10:17 PM"
400,Tecnologia,817,25285,equipo 5 ,agil,"Aug 15, 2023 6:36 PM","Dec 9, 2023 8:38 PM"
100,Payments,430,34044,equipo 1,agil,"Jun 27, 2023 2:05 AM","Nov 14, 2023 10:53 AM"
500,Payments,393,17958,equipo 5 ,hibrido,"Dec 20, 2023 9:14 PM","Aug 23, 2023 11:15 AM"
200,Cumplimiento,739,6188,equipo 2,hibrido,"May 3, 2024 7:36 AM","Jun 5, 2024 9:43 AM"
400,Zona Libre,375,30333,equipo 6,agil,"Mar 25, 2024 2:34 PM","Dec 22, 2023 2:08 PM"
400,Operaciones,995,13832,equipo 1,hibrido,"May 12, 2024 7:39 AM","Dec 22, 2023 11:06 PM"
500,Corporativa,773,36797,equipo 3,hibrido,"Mar 2, 2024 8:57 AM","Oct 10, 2023 12:42 AM"
300,Payments,477,44550,equipo 3,agil,"Mar 9, 2024 2:05 PM","Feb 18, 2024 2:03 PM"
200,Cumplimiento,932,6790,equipo 2,agil,"Dec 11, 2023 7:46 AM","Apr 24, 2024 12:37 PM"
400,Corporativa,945,31074,equipo 5 ,hibrido,"Sep 16, 2023 4:22 PM","Apr 24, 2024 6:21 AM"
300,Gente,896,32191,equipo 5 ,agil,"Feb 22, 2024 2:30 PM","Aug 22, 2023 11:38 PM"
200,Cumplimiento,708,35985,equipo 2,agil,"Mar 9, 2024 5:09 PM","Oct 23, 2023 9:14 AM"
300,Payments,674,13081,equipo 5 ,agil,"Dec 25, 2023 11:27 AM","Apr 27, 2024 12:54 AM"
400,Payments,594,1730,equipo 5 ,hibrido,"May 7, 2024 10:59 PM","Apr 14, 2024 9:56 PM"
100,Credito,864,28091,equipo 2,hibrido,"Jan 3, 2024 11:37 PM","Apr 1, 2024 6:18 PM"
200,Zona Libre,815,6176,equipo 6,hibrido,"Jul 18, 2023 7:30 AM","Sep 15, 2023 1:47 AM"
200,Cumplimiento,951,40093,equipo 4,agil,"Jul 31, 2023 11:35 AM","Feb 28, 2024 7:10 PM"
200,Payments,920,13237,equipo 3,agil,"Dec 11, 2023 7:40 AM","Feb 13, 2024 2:54 AM"
200,Gente,407,9680,equipo 3,agil,"Apr 27, 2024 10:38 PM","Feb 13, 2024 8:19 PM"
300,Gente,564,29711,equipo 3,hibrido,"May 16, 2024 5:17 AM","Jun 1, 2024 4:31 PM"
200,Zona Libre,980,15017,equipo 5 ,agil,"Jul 30, 2023 12:21 AM","Feb 25, 2024 2:49 AM"
500,Tecnologia,865,22058,equipo 4,agil,"Nov 3, 2023 11:10 AM","Oct 3, 2023 6:59 AM"
400,Corporativa,935,22442,equipo 6,agil,"Aug 16, 2023 3:16 AM","Jan 13, 2024 11:35 AM"
400,Credito,485,31252,equipo 5 ,agil,"Jul 14, 2023 9:20 PM","Oct 27, 2023 9:21 PM"
400,Gente,379,20411,equipo 6,hibrido,"Feb 24, 2024 6:47 AM","May 4, 2024 11:32 PM"
500,Gente,319,6230,equipo 4,agil,"Aug 13, 2023 9:10 PM","Jul 18, 2023 6:21 AM"
400,Gente,989,30152,equipo 7,agil,"Nov 26, 2023 11:33 AM","Jan 30, 2024 1:51 PM"
200,Zona Libre,791,14942,equipo 6,agil,"Oct 16, 2023 1:39 AM","Sep 8, 2023 12:51 AM"
100,Gente,813,41179,equipo 3,agil,"Mar 14, 2024 6:47 AM","Jan 4, 2024 4:26 AM"
200,Corporativa,384,1200,equipo 6,hibrido,"Aug 18, 2023 11:28 PM","Jan 8, 2024 10:31 PM"
300,Cumplimiento,776,15845,equipo 5 ,agil,"Oct 3, 2023 6:29 PM","May 30, 2024 12:15 PM"
200,Cumplimiento,924,15003,equipo 5 ,hibrido,"Nov 23, 2023 6:20 PM","Jun 5, 2024 11:52 PM"
400,Cumplimiento,425,3872,equipo 2,agil,"Jul 13, 2023 5:12 AM","Aug 22, 2023 5:07 AM"
400,Operaciones,978,26779,equipo 6,hibrido,"Apr 14, 2024 6:26 PM","Nov 19, 2023 5:47 AM"
300,Cumplimiento,352,32293,equipo 2,hibrido,"Jan 6, 2024 10:08 PM","Feb 23, 2024 11:05 AM"
400,Zona Libre,891,7586,equipo 6,agil,"Jul 17, 2023 6:44 PM","Dec 12, 2023 7:16 PM"
400,Payments,401,27485,equipo 2,hibrido,"Oct 14, 2023 10:03 PM","Aug 17, 2023 9:55 AM"
400,Operaciones,948,11634,equipo 2,hibrido,"Aug 3, 2023 4:33 AM","Jun 7, 2024 6:19 PM"
400,Zona Libre,970,34516,equipo 6,hibrido,"May 8, 2024 4:07 AM","Apr 20, 2024 5:23 PM"
500,Tecnologia,480,36032,equipo 6,agil,"Nov 17, 2023 7:42 PM","Feb 24, 2024 1:01 PM"
500,Operaciones,807,1270,equipo 2,agil,"Nov 30, 2023 9:10 PM","Dec 7, 2023 10:26 PM"
400,Zona Libre,465,14739,equipo 6,hibrido,"Jan 13, 2024 11:05 PM","Nov 24, 2023 9:28 PM"
300,Tecnologia,294,3533,equipo 6,hibrido,"Jul 4, 2023 8:58 AM","Jun 7, 2024 6:36 AM"
300,Corporativa,387,9046,equipo 2,hibrido,"Apr 30, 2024 11:44 PM","May 27, 2024 9:52 AM"
400,Operaciones,426,37780,equipo 2,hibrido,"Nov 4, 2023 9:19 PM","Jan 3, 2024 8:39 AM"
400,Cumplimiento,950,8834,equipo 7,hibrido,"Oct 14, 2023 5:52 AM","Sep 27, 2023 2:48 AM"
300,Zona Libre,685,40410,equipo 6,hibrido,"Dec 2, 2023 11:22 PM","Mar 6, 2024 7:56 PM"
500,Cumplimiento,524,19330,equipo 6,hibrido,"Dec 19, 2023 10:16 AM","Jun 24, 2024 7:44 AM"
300,Zona Libre,935,41365,equipo 3,agil,"Jun 22, 2023 2:29 AM","Aug 4, 2023 3:24 PM"
500,Payments,393,31420,equipo 6,hibrido,"Jun 4, 2024 12:45 AM","Jun 10, 2024 2:27 AM"
400,Credito,996,11667,equipo 6,hibrido,"Feb 20, 2024 10:04 PM","Feb 24, 2024 6:01 AM"
100,Cumplimiento,910,32937,equipo 4,agil,"Apr 30, 2024 3:33 PM","Aug 14, 2023 3:23 PM"
500,Corporativa,826,32605,equipo 6,agil,"May 1, 2024 6:34 AM","Apr 3, 2024 5:00 AM"
200,Cumplimiento,942,3093,equipo 4,agil,"Jan 11, 2024 1:46 AM","Aug 18, 2023 10:24 PM"
300,Cumplimiento,665,17899,equipo 1,hibrido,"Mar 1, 2024 12:11 AM","Jan 6, 2024 4:54 PM"
100,Credito,734,9226,equipo 3,agil,"Jun 11, 2024 7:48 PM","Jan 8, 2024 1:15 AM"
400,Operaciones,501,15587,equipo 5 ,hibrido,"Jun 25, 2023 12:16 PM","Feb 3, 2024 9:44 AM"
400,Cumplimiento,944,26924,equipo 7,agil,"Aug 24, 2023 2:45 AM","Mar 24, 2024 3:46 AM"
500,Operaciones,290,33166,equipo 5 ,agil,"Nov 4, 2023 5:09 AM","Dec 18, 2023 7:04 AM"
200,Payments,649,12108,equipo 3,hibrido,"Oct 23, 2023 5:47 AM","Dec 1, 2023 3:24 PM"
200,Tecnologia,529,12549,equipo 2,hibrido,"Dec 17, 2023 1:06 PM","Mar 30, 2024 4:55 AM"
100,Zona Libre,418,30160,equipo 5 ,agil,"Jul 3, 2023 8:31 AM","Feb 14, 2024 9:57 PM"
300,Cumplimiento,388,23626,equipo 3,hibrido,"Jun 26, 2023 2:27 AM","Jun 25, 2024 12:28 AM"
500,Corporativa,884,27992,equipo 5 ,hibrido,"Oct 3, 2023 4:18 PM","Feb 9, 2024 2:04 AM"
200,Credito,714,38025,equipo 4,agil,"Mar 26, 2024 7:44 PM","Mar 4, 2024 8:23 AM"
500,Operaciones,964,29785,equipo 6,agil,"Oct 12, 2023 4:25 PM","May 7, 2024 8:49 PM"
300,Zona Libre,551,4624,equipo 4,hibrido,"Apr 6, 2024 7:04 AM","Mar 30, 2024 1:12 AM"
300,Payments,689,4923,equipo 3,hibrido,"Aug 9, 2023 4:36 AM","Jan 25, 2024 9:35 PM"
300,Tecnologia,565,27652,equipo 7,agil,"Sep 11, 2023 8:21 AM","Feb 11, 2024 10:58 AM"
300,Gente,747,24990,equipo 5 ,hibrido,"Jan 19, 2024 8:52 AM","Oct 22, 2023 4:32 PM"
100,Payments,588,44697,equipo 6,hibrido,"Feb 1, 2024 1:59 AM","Apr 23, 2024 8:35 PM"
500,Cumplimiento,886,13344,equipo 4,agil,"Oct 14, 2023 11:25 PM","Aug 9, 2023 11:56 AM"
100,Payments,328,15321,equipo 4,agil,"Jun 11, 2024 6:48 PM","Nov 30, 2023 3:15 AM"
100,Tecnologia,822,14967,equipo 2,agil,"Jun 2, 2023 3:16 AM","May 2, 2024 11:10 PM"
100,Cumplimiento,728,31594,equipo 4,agil,"May 13, 2024 7:52 AM","Jul 23, 2023 10:38 PM"
100,Credito,300,6649,equipo 6,hibrido,"Sep 27, 2023 11:47 AM","Jul 16, 2023 4:21 PM"
300,Credito,710,24410,equipo 3,agil,"Mar 25, 2024 12:01 PM","Jan 11, 2024 6:00 AM"
300,Credito,367,12484,equipo 5 ,hibrido,"Oct 14, 2023 10:43 PM","Nov 15, 2023 8:38 AM"
500,Cumplimiento,806,3398,equipo 6,agil,"Feb 8, 2024 10:22 AM","Apr 13, 2024 7:57 AM"
500,Payments,517,4668,equipo 5 ,agil,"Oct 6, 2023 6:44 AM","Jul 26, 2023 10:38 PM"
300,Gente,463,2241,equipo 4,agil,"Feb 1, 2024 5:52 PM","Dec 2, 2023 3:25 AM"
500,Zona Libre,347,39919,equipo 2,hibrido,"Apr 3, 2024 3:50 PM","Jan 19, 2024 10:02 AM"
200,Payments,769,37131,equipo 2,agil,"Jun 24, 2023 4:58 AM","Oct 10, 2023 2:30 PM"
300,Zona Libre,672,11495,equipo 2,hibrido,"Nov 1, 2023 1:19 PM","Oct 31, 2023 11:25 PM"
400,Zona Libre,750,41995,equipo 6,agil,"Jun 3, 2023 11:30 PM","Feb 17, 2024 5:00 PM"
100,Credito,842,39254,equipo 6,agil,"Aug 24, 2023 7:15 PM","Jun 15, 2024 5:16 AM"
300,Payments,579,18614,equipo 4,hibrido,"Aug 14, 2023 8:16 PM","Mar 21, 2024 10:28 AM"
300,Cumplimiento,334,39489,equipo 2,hibrido,"Jun 22, 2023 12:50 PM","Apr 15, 2024 2:21 AM"
400,Payments,544,34328,equipo 3,agil,"Nov 20, 2023 10:43 PM","Oct 3, 2023 10:47 PM"
400,Payments,979,18412,equipo 5 ,agil,"Nov 6, 2023 1:15 AM","Feb 18, 2024 7:11 AM"
300,Credito,820,8931,equipo 6,agil,"Jul 19, 2023 1:28 PM","Aug 6, 2023 11:31 PM"
200,Gente,992,14551,equipo 2,agil,"Nov 8, 2023 2:42 AM","Dec 18, 2023 1:51 AM"
300,Cumplimiento,899,31139,equipo 3,agil,"Aug 2, 2023 6:25 AM","Jan 21, 2024 10:11 PM"
500,Payments,404,8891,equipo 4,hibrido,"Sep 18, 2023 7:24 AM","Mar 19, 2024 5:18 AM"
400,Payments,444,2844,equipo 5 ,agil,"Dec 18, 2023 8:24 AM","Sep 26, 2023 9:56 PM"
400,Corporativa,676,22491,equipo 7,hibrido,"Mar 9, 2024 12:13 PM","Jan 9, 2024 8:20 AM"
300,Cumplimiento,973,39263,equipo 2,hibrido,"Apr 16, 2024 11:10 PM","Oct 28, 2023 8:18 PM"
400,Payments,962,24435,equipo 2,agil,"Jun 28, 2023 9:55 AM","May 29, 2024 10:18 PM"
400,Credito,892,15322,equipo 5 ,hibrido,"Aug 8, 2023 10:45 PM","Aug 7, 2023 6:34 AM"
300,Zona Libre,626,26480,equipo 7,hibrido,"Dec 18, 2023 10:28 PM","Feb 8, 2024 6:04 PM"
400,Credito,905,37424,equipo 6,hibrido,"May 2, 2024 11:57 PM","Sep 20, 2023 12:37 AM"
300,Payments,629,17569,equipo 2,hibrido,"Jun 19, 2023 3:44 PM","Aug 27, 2023 10:20 PM"
100,Payments,772,31217,equipo 5 ,hibrido,"Feb 7, 2024 8:33 PM","Jul 23, 2023 6:52 AM"
200,Gente,577,36486,equipo 2,hibrido,"Feb 5, 2024 8:52 PM","Jul 11, 2023 11:22 PM"
400,Operaciones,457,28225,equipo 7,agil,"Oct 13, 2023 9:08 AM","Mar 15, 2024 12:40 AM"
500,Zona Libre,809,14882,equipo 4,agil,"May 18, 2024 11:56 PM","Oct 21, 2023 10:57 AM"
300,Payments,269,44925,equipo 6,agil,"Sep 22, 2023 7:09 AM","May 13, 2024 5:48 PM"
